id,name,type,description,workflow_status,priority,due_date,is_active,created_at,updated_at,owner_id,created_by,action_type,action_payload,schedule_cron,schedule_interval,next_run_at,last_run_at,parent_task_id
f8a7c2b1-8e39-4a5d-9e0a-2b6c8d4f1e01,Brainstorm Game Concept Ideas,Game Design,Conduct creative brainstorming sessions to generate initial game concept setting and theme ideas.,Completed,High,2024-01-15T00:00:00Z,true,2024-01-01T00:00:00Z,2024-01-15T00:00:00Z,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,manual,{},,,,,
b1c3e5a7-0d9e-4f21-8b7a-3c8d9e0f1a02,Define Unique Selling Points (USPs) and Core Theme,Game Design,Identify the game's unique selling points and establish the core theme and genre as guiding pillars for development.,Completed,Critical,2024-01-20T00:00:00Z,true,2024-01-15T00:00:00Z,2024-01-20T00:00:00Z,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,manual,{},,,,,f8a7c2b1-8e39-4a5d-9e0a-2b6c8d4f1e01
d3f5h7j9-1b2c-4d6e-8a0f-5g9h1i2j3k4l,Create Initial Game Pitch Deck,Game Design,Compile a pitch deck with the game overview key features early art mock-ups and market analysis to pitch to stakeholders.,Completed,Critical,2024-01-31T00:00:00Z,true,2024-01-20T00:00:00Z,2024-01-31T00:00:00Z,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,9d2b3c4a-5e6f-4g8h-9i1j-2k3l4m5n6o7p,manual,{},,,,,b1c3e5a7-0d9e-4f21-8b7a-3c8d9e0f1a02
e5h7j9l1-2c3d-4e5f-8c1a-6i0j4k8l2m6n,Present Game Concept to Stakeholders,Production,Present the game concept and pitch deck to stakeholders/executives for greenlighting and initial feedback.,Completed,Critical,2024-02-07T00:00:00Z,true,2024-02-01T00:00:00Z,2024-02-07T00:00:00Z,1a2b3c4d-5e6f-4g8h-9i0j-7k1l5m9n3o7p,1a2b3c4d-5e6f-4g8h-9i0j-7k1l5m9n3o7p,manual,{},,,,,d3f5h7j9-1b2c-4d6e-8a0f-5g9h1i2j3k4l
g7j9l1n3-3d4e-4f6g-8d2a-8k2l6m0n4o8p,Technical Requirements Analysis,Programming,Analyze GDD to list technical requirements engine capabilities needed and potential development challenges.,Completed,High,2024-02-28T00:00:00Z,true,2024-02-15T00:00:00Z,2024-02-28T00:00:00Z,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,manual,{},,,,,e5h7j9l1-2c3d-4e5f-8c1a-6i0j4k8l2m6n
i9l1n3p5-4e5f-4g7h-8e3a-9m4n8o2p6q0r,Select Game Engine and Development Tools,Programming,Evaluate and choose a game engine and key development tools including source control and build systems.,Completed,Critical,2024-03-10T00:00:00Z,true,2024-03-01T00:00:00Z,2024-03-10T00:00:00Z,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,manual,{},,,,,g7j9l1n3-3d4e-4f6g-8d2a-8k2l6m0n4o8p
k1n3p5r7-5f6g-4h9i-8f4a-0o6p9q3r7s1t,Set Up Development Environment,Programming,Install and configure the game engine and development tools for the team including version control setup.,Completed,High,2024-03-17T00:00:00Z,true,2024-03-10T00:00:00Z,2024-03-17T00:00:00Z,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,3b4c5d6e-7f8a-4h0i-9j2k-9l3m7n1o5p9q,manual,{},,,,,i9l1n3p5-4e5f-4g7h-8e3a-9m4n8o2p6q0r
m3p5r7t9-6g7h-4i1j-8g5a-1q8r0s4t8u2v,Art Style Research and Reference Gathering,Art,Collect visual references and inspirations for the game's art style including color palettes lighting and mood.,Completed,High,2024-03-01T00:00:00Z,true,2024-02-15T00:00:00Z,2024-03-01T00:00:00Z,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,manual,{},,,,,
o5r7t9v1-7h8i-4j3k-8h6a-2s0t2u6v0w4x,Concept Art – Main Protagonist,Art,Create concept art illustrations exploring designs for the main character including outfits and silhouettes.,Completed,High,2024-03-15T00:00:00Z,true,2024-03-01T00:00:00Z,2024-03-15T00:00:00Z,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,manual,{},,,,,m3p5r7t9-6g7h-4i1j-8g5a-1q8r0s4t8u2v
q7t9v1x3-8i9j-4k5l-8i7a-3u2v4w8x2y6z,Concept Art – Environment (Level 1),Art,Paint a concept piece for the first level's environment to set the tone for world design.,Completed,High,2024-03-22T00:00:00Z,true,2024-03-15T00:00:00Z,2024-03-22T00:00:00Z,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,8c9d0e1f-9a2b-4k2l-2m6n-3o0p1q5r9s3t,manual,{},,,,,m3p5r7t9-6g7h-4i1j-8g5a-1q8r0s4t8u2v
8a3d1c6f-7b2a-4e9f-9d1c-5e8f2g6h4i0j,Design UI Style Guide,UI/UX,Establish the UI style (fonts colors button styles) consistent with overall game art direction.,Completed,Critical,2024-06-01T00:00:00Z,true,2024-05-15T00:00:00Z,2024-06-01T00:00:00Z,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,manual,{},,,,,
0c5e3g8i-9d4f-4a2b-9f5e-7g0h5i3j1k5l,Implement HUD UI,UI/UX,Implement the in-game HUD (health stamina bars mini-map) in the engine scripting basic functionality.,In Progress,High,2024-07-10T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-10T00:00:00Z,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,manual,{},,,,,8a3d1c6f-7b2a-4e9f-9d1c-5e8f2g6h4i0j
2e7g5i0k-1f6a-4c0d-9h7g-8j1k7l5m3n9o,Implement Menu UI,UI/UX,Code and assemble the main menu pause menu and settings screens.,Open,Medium,2024-07-25T00:00:00Z,true,2024-07-10T00:00:00Z,2024-07-25T00:00:00Z,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,6d4e2f0a-8b3c-4g1h-9e3d-6i9j3k7l5m1n,manual,{},,,,,8a3d1c6f-7b2a-4e9f-9d1c-5e8f2g6h4i0j
4g9i7k2m-3h8g-4e2f-9j9i-9k2l8m6n4o1p,Model Main Character (High Poly),Art,Create a detailed high-poly 3D model of the main character based on concept art.,Completed,Critical,2024-05-10T00:00:00Z,true,2024-04-15T00:00:00Z,2024-05-10T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,o5r7t9v1-7h8i-4j3k-8h6a-2s0t2u6v0w4x
6i1k9m4o-5j0i-4g4h-9k1j-1l4m9n7o6p3q,Retopologize and Texture Main Character,Art,Create a game-ready low-poly model from the high-poly sculpt and texture it.,Completed,Critical,2024-06-01T00:00:00Z,true,2024-05-10T00:00:00Z,2024-06-01T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,4g9i7k2m-3h8g-4e2f-9j9i-9k2l8m6n4o1p
8k3m1o6q-7l2k-4i6h-9m3l-2n6o1p9q7r4s,Implement Core Combat System (Melee),Programming,Begin coding the core combat system in the engine supporting light attacks heavy attacks and combos.,Completed,Critical,2024-05-15T00:00:00Z,true,2024-04-15T00:00:00Z,2024-05-15T00:00:00Z,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,manual,{},,,,,
0m5o3q8s-9n4m-4k8j-9o5n-3p8q3r1s9t7u,Implement Target Lock-On System,Programming,Add a lock-on feature to allow players to focus on specific enemies during combat.,In Progress,High,2024-05-22T00:00:00Z,true,2024-05-15T00:00:00Z,2024-05-22T00:00:00Z,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,manual,{},,,,,8k3m1o6q-7l2k-4i6h-9m3l-2n6o1p9q7r4s
2o7q5s0u-1p6n-4m0l-9q7p-4r0s7t5u1v9w,Implement Enemy AI Framework,Programming,Set up the basic AI framework/state machine for enemies (idle patrol chase attack flee states).,Completed,Critical,2024-05-30T00:00:00Z,true,2024-05-15T00:00:00Z,2024-05-30T00:00:00Z,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,manual,{},,,,,
4q9s7u2w-3r8p-4o2n-9s9q-5t2u1v9w7x5y,Implement Enemy Combat Behaviors,Programming,Program enemy attacks defenses and special moves; ensure each enemy type behaves according to design.,In Progress,High,2024-06-20T00:00:00Z,true,2024-05-30T00:00:00Z,2024-06-20T00:00:00Z,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,manual,{},,,,,2o7q5s0u-1p6n-4m0l-9q7p-4r0s7t5u1v9w
0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k,Design Audio Style and Themes,Audio,Decide on an overall audio direction: orchestral score vs. electronic realistic vs. stylized sound effects.,Completed,Medium,2024-05-01T00:00:00Z,true,2024-04-15T00:00:00Z,2024-05-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,
2d6c4h9f-7e3d-4a0b-8f5g-8h4i6j8k2l1m,Compose Main Theme Music,Audio,Write and record the main theme music for the game that will be used in the title screen and key moments.,In Progress,High,2024-08-01T00:00:00Z,true,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k
4f8e6j1h-9g5f-4c2d-8h7i-9j6k0l0m4n3o,Record Sound Effects (Combat & UI),Audio,Record or source sound effects for combat and UI interactions.,In Progress,Critical,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k
6h0g8i3k-1i7f-4e4f-8j9k-0l8m2n2o6p5q,Full Level Design – Level 1,Level Design,Design the complete layout for Level 1 including environment features enemy placement and objectives.,Completed,Critical,2024-06-15T00:00:00Z,true,2024-05-15T00:00:00Z,2024-06-15T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,
8j2i0k5m-3k9i-4g6h-8l1m-1n2o6p4q8r1s,Full Level Design – Level 2 (Forest Village),Level Design,Design the layout for a forest village level balancing exploration areas and combat encounters.,Completed,High,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,6h0g8i3k-1i7f-4e4f-8j9k-0l8m2n2o6p5q
0l4k2m7o-5m1i-4i8j-8n3o-2p4q8r6s0t9u,Full Level Design – Level 3 (Ancient Ruins),Level Design,Create the layout for an ancient ruins level with vertical exploration and puzzle elements.,In Progress,High,2024-07-15T00:00:00Z,true,2024-07-01T00:00:00Z,2024-07-15T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,8j2i0k5m-3k9i-4g6h-8l1m-1n2o6p4q8r1s
2n6o4q9s-7o3m-4k0l-8p5q-3r6s0t8u4v2w,Model Enemy Type A (Grunt),Art,Model a common grunt enemy (mid-poly for in-game use) based on concept art.,Completed,High,2024-05-20T00:00:00Z,true,2024-05-01T00:00:00Z,2024-05-20T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
4p8q6s1u-9q5o-4m2n-8r7s-4t8u2v0w6x4y,Texture and Rig Enemy Type A (Grunt),Art,Apply textures to the grunt model and rig it for animations.,Completed,High,2024-06-10T00:00:00Z,true,2024-05-20T00:00:00Z,2024-06-10T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,2n6o4q9s-7o3m-4k0l-8p5q-3r6s0t8u4v2w
6r0s8u3w-1s7q-4o4p-8t9u-5v0w4x2y8z6a,Model Enemy Type B (Ranged),Art,Model an enemy with ranged attacks with distinctive silhouette.,Completed,Medium,2024-06-05T00:00:00Z,true,2024-05-20T00:00:00Z,2024-06-05T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
8t2u0w5y-3u9s-4q6r-8v1w-6x2y6z4a0b8c,Texture and Rig Enemy Type B (Ranged),Art,Texture the ranged enemy model and rig it for animation.,Completed,Medium,2024-06-25T00:00:00Z,true,2024-06-05T00:00:00Z,2024-06-25T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,6r0s8u3w-1s7q-4o4p-8t9u-5v0w4x2y8z6a
0v4w2y7a-5w1u-4s8r-8x3y-7z4a8b6c2d0e,Model Mini-Boss Character,Art,Create a 3D model for a mid-game boss larger scale and more detail than standard enemies.,In Progress,High,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
2x6y4a9c-7y3w-4u0s-8z5a-8b6c0d4e4f2g,Texture and Rig Mini-Boss Character,Art,Texture the mini-boss model and rig it ensuring the rig supports any unique anatomical features.,Open,High,2024-07-20T00:00:00Z,true,2024-07-01T00:00:00Z,2024-07-20T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,0v4w2y7a-5w1u-4s8r-8x3y-7z4a8b6c2d0e
4z8a6c1e-9a5y-4w2u-8b7c-9d8e2f6g0h4i,Model Environment Assets – Forest,Art,Model trees rocks foliage and ground textures for the forest environments.,Completed,High,2024-05-25T00:00:00Z,true,2024-05-01T00:00:00Z,2024-05-25T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
6b0c8e3g-1c7a-4y4w-8d9e-0f0g6h8i2j6k,Texture Environment Assets – Forest,Art,Create texture sets for forest assets and apply to models.,Completed,High,2024-06-15T00:00:00Z,true,2024-05-25T00:00:00Z,2024-06-15T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,4z8a6c1e-9a5y-4w2u-8b7c-9d8e2f6g0h4i
8d2e0g5i-3e9c-4a6y-8f1g-1h2i8j0k4l8m,Model Environment Assets – Village,Art,Build models for village structures and props.,Completed,High,2024-06-10T00:00:00Z,true,2024-05-25T00:00:00Z,2024-06-10T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
0f4g2i7k-5g1e-4c8a-8h3i-2j4k0l2m6n0o,Texture Environment Assets – Village,Art,Texture the village structure models with wood straw and fabric materials consistent with art style.,Completed,High,2024-06-30T00:00:00Z,true,2024-06-10T00:00:00Z